Img,Gender
./image_data/fitness_instructor_2_10_0.png,Male
./image_data/fitness_instructor_2_2_0.png,Male
./image_data/fitness_instructor_2_12_2.png,Non-Male
./image_data/fitness_instructor_2_0_2.png,Non-Male
./image_data/fitness_instructor_0_9.png,Male
./image_data/fitness_instructor_2_14_4.png,Non-Male
./image_data/fitness_instructor_2_6_4.png,Non-Male
./image_data/fitness_instructor_2_4_6.png,Non-Male
./image_data/fitness_instructor_2_4_7.png,Male
./image_data/fitness_instructor_2_6_5.png,Non-Male
./image_data/fitness_instructor_2_14_5.png,Male
./image_data/fitness_instructor_0_8.png,Male
./image_data/fitness_instructor_2_0_3.png,Male
./image_data/fitness_instructor_2_12_3.png,Male
./image_data/fitness_instructor_2_2_1.png,Male
./image_data/fitness_instructor_2_10_1.png,Male
./image_data/fitness_instructor_2_10_3.png,Male
./image_data/fitness_instructor_2_2_3.png,Male
./image_data/fitness_instructor_2_8.png,Male
./image_data/fitness_instructor_2_12_1.png,Non-Male
./image_data/fitness_instructor_2_0_1.png,Male
./image_data/fitness_instructor_2_14_7.png,Male
./image_data/fitness_instructor_2_6_7.png,Male
./image_data/fitness_instructor_2_8_8.png,Male
./image_data/fitness_instructor_2_4_5.png,Male
./image_data/fitness_instructor_2_4_4.png,Non-Male
./image_data/fitness_instructor_2_8_9.png,Male
./image_data/fitness_instructor_2_6_6.png,Non-Male
./image_data/fitness_instructor_2_14_6.png,Male
./image_data/fitness_instructor_2_0_0.png,Non-Male
./image_data/fitness_instructor_2_12_0.png,Non-Male
./image_data/fitness_instructor_2_9.png,Non-Male
./image_data/fitness_instructor_2_2_2.png,Non-Male
./image_data/fitness_instructor_2_10_2.png,Male
./image_data/fitness_instructor_2_2_6.png,Male
./image_data/fitness_instructor_2_10_6.png,Non-Male
./image_data/fitness_instructor_2_0_4.png,Non-Male
./image_data/fitness_instructor_2_12_4.png,Male
./image_data/fitness_instructor_2_6_2.png,Non-Male
./image_data/fitness_instructor_2_14_2.png,Male
./image_data/fitness_instructor_2_4_0.png,Non-Male
./image_data/fitness_instructor_2_4_1.png,Non-Male
./image_data/fitness_instructor_2_14_3.png,Non-Male
./image_data/fitness_instructor_2_6_3.png,Male
./image_data/fitness_instructor_2_12_5.png,Non-Male
./image_data/fitness_instructor_2_0_5.png,Male
./image_data/fitness_instructor_2_10_7.png,Non-Male
./image_data/fitness_instructor_2_2_7.png,Non-Male
./image_data/fitness_instructor_2_2_5.png,Non-Male
./image_data/fitness_instructor_2_10_5.png,Non-Male
./image_data/fitness_instructor_2_0_7.png,Non-Male
./image_data/fitness_instructor_2_12_7.png,Male
./image_data/fitness_instructor_2_6_1.png,Non-Male
./image_data/fitness_instructor_2_14_1.png,Non-Male
./image_data/fitness_instructor_2_4_3.png,Male
./image_data/fitness_instructor_4_8.png,Male
./image_data/fitness_instructor_4_9.png,Male
./image_data/fitness_instructor_2_4_2.png,Non-Male
./image_data/fitness_instructor_2_14_0.png,Male
./image_data/fitness_instructor_2_6_0.png,Male
./image_data/fitness_instructor_2_12_6.png,Male
./image_data/fitness_instructor_2_0_6.png,Male
./image_data/fitness_instructor_2_10_4.png,Male
./image_data/fitness_instructor_2_2_4.png,Non-Male
./image_data/fitness_instructor_2_5_5.png,Non-Male
